species,density,cover,annual,growthform
Achillea,millefolium,230,NA,NA
Achnatherum,nelsonii,NA,52,NA
Agoseris,glauca,120,NA,NA
Allium,textile,1361,NA,1
Amaranthus,sp.,NA,NA,1
Anagallis,minima,NA,NA,37
Andropogon,sp.,NA,31,NA
Androsace,occidentalis,NA,NA,1346
Androsace,sp.,NA,NA,16
ant,hill,NA,1,NA
Antennaria,sp.,NA,2,NA
Aristida,purpurea,NA,27,NA
Artemisia,cana,1825,NA,NA
Artemisia,frigida,NA,926,NA
Artemisia,tridentata,NA,535,NA
Astragalus,sp.,21,NA,7
Atriplex,argentea,NA,NA,304
Atriplex,powellii,NA,NA,1
Atriplex,sp.,NA,NA,154
Borago,officinalis,NA,NA,112
Bouteloua,dactyloides,NA,20684,NA
Bouteloua,gracilis,NA,29465,NA
Brassica,sp.,NA,NA,31
Bromus,tectorum,NA,NA,2060
Calochortus,nuttallii,2,NA,NA
Camelina,microcarpa,NA,NA,540
Campanula,rotundifolia,NA,NA,1
Carduus,sp.,18,NA,NA
Carex,duriuscula,693,NA,NA
Carex,filifolia,NA,3982,NA
Carex,sp.,NA,23,NA
Chaenactis,douglasii,3,NA,NA
Chamaesyce,geyeri,NA,NA,335
Chamaesyce,serpens,NA,NA,2119
Chamaesyce,sp.,NA,NA,1
Chenopodium,album,NA,NA,2487
Chenopodium,leptophyllum,NA,NA,14
Chenopodium,sp.,NA,NA,116
Chorispora,tenella,NA,NA,2
Cirsium,sp.,1,NA,NA
Cleome,serrulata,NA,NA,2
Collinsia,parviflora,NA,NA,28
Collinsia,sp.,NA,NA,40
Collomia,linearis,NA,NA,675
Collomia,sp.,NA,NA,120
Convolvulus,sp.,NA,NA,1
Cryptantha,crassisepala,NA,NA,223
Cryptantha,minima,NA,NA,569
Cryptantha,sp.,NA,NA,214
Cymopterus,sp.,489,NA,NA
depression,NA,25,NA,nonplant
Descurainia,incana,NA,NA,374
Dichanthelium,sp.,NA,10,NA
Draba,nemorosa,NA,NA,1608
Draba,sp.,NA,NA,71
dung,NA,60,NA,nonplant
Ellisia,nyctelea,NA,NA,25
Elymus,elymoides,NA,48,NA
Erigeron,sp.,5,NA,NA
Escobaria,missouriensis,NA,303,NA
Euphorbia,marginata,NA,NA,5
Euphorbia,sp.,NA,NA,126
Euphorbia,spathulata,NA,NA,87
Evax,prolifera,NA,NA,2628
Gaura,coccinea,4,NA,NA
Gutierrezia,sarothrae,NA,4,NA
Hackelia,floribunda,NA,NA,1634
Hedeoma,hispida,NA,NA,2988
Hedeoma,sp.,NA,NA,88
Helianthus,annuus,NA,NA,12
Helianthus,sp.,NA,NA,6
Hesperostipa,comata,NA,5557,NA
Hordeum,pusillum,NA,NA,2245
Keoleria,macrantha,NA,8,NA
Lactuca,serriola,NA,NA,217
Lactuca,sp.,NA,NA,7
Lappula,occidentalis,NA,NA,8663
Lappula,sp.,NA,NA,2807
Lepidium,densiflorum,NA,NA,8362
Lepidium,sp.,NA,NA,1955
Leptosiphon,harknessii,NA,NA,16
Leucocrinum,montanum,28,NA,NA
Linum,rigidum,15,NA,10
Linum,sulcatum,NA,NA,2
Lithospermum,incisum,6,NA,1
Lomatium,foeniculaceum,229,NA,NA
Lomatium,macrocarpum,8,NA,NA
Lomatium,orientale,314,NA,6
Lomatium,sp.,59,NA,NA
Lupinus,pusillus,NA,NA,69
Lygodesmia,juncea,26,NA,NA
Lygodesmia,sp.,NA,NA,3
Machaeranthera,canescens,5,NA,58
Machaeranthera,tanacetifolia,NA,NA,17
Malva,sp.,74,NA,1
Medicago,lupulina,149,NA,1511
Melilotus,officinalis,1,NA,NA
Mentha,sp.,NA,NA,2
Microsteris,gracilis,NA,NA,852
Microsteris,sp.,NA,NA,24
